Component	CO2_FF	CO2_AFOLU	CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC	CFC-13	HCFC-124	HCFC-133a	HFC152a	HFC365mfc	HFC236fa	C3F8	C4F8	C4F10	NF3	SO2F2
Unit 	 Pg_C	Pg_C	Tg	Tg_N	Tg_S	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Mt_N	Mt	Mt	Mt	Tg	Tg	Tg	Tg  Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  
Reference	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	No data	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	
1766	0.00339421	0.10860216	20.8535919	0.07381089	1.24468857	0.0	0.0	0.0	0.0	0.0	105.07758	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.42e-06	0.0	0.0	3.437e-05	0.0	0.0	0.0	0.01007122	0.0	3.87906403	349.380645	59.85878463	7.03629653	1.34498311	12.31847179	0.76547686	3.04035903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1767	0.00339532	0.11060013	20.99917946	0.07520534	1.24385418	0.0	0.0	0.0	0.0	0.0	105.08566	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.46e-06	0.0	0.0	3.843e-05	0.0	0.0	0.0	0.01007122	0.0	3.874694	349.616099	59.8910269	7.04538243	1.34524008	12.35137655	0.76722062	3.04918795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1768	0.00339642	0.11263485	21.65945211	0.07662614	1.29527413	0.0	0.0	0.0	0.0	0.0	105.04673	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.49e-06	0.0	0.0	4.247e-05	0.0	0.0	0.0	0.01007122	0.0	4.03298658	362.65368483	62.36582555	7.22361782	1.40901338	12.98991329	0.77411866	3.07381691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1769	0.00339753	0.11470701	21.49633535	0.07807378	1.27392155	0.0	0.0	0.0	0.0	0.0	105.0767	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.53e-06	0.0	0.0	4.654e-05	0.0	0.0	0.0	0.01007122	0.0	3.90878664	355.02541845	60.95040361	7.1578637	1.36313658	12.65664863	0.77449716	3.07844616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1770	0.00339864	0.11681729	21.63439757	0.07954877	1.27805335	0.0	0.0	0.0	0.0	0.0	105.04544	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.57e-06	0.0	0.0	5.058e-05	0.0	0.0	0.0	0.01007122	0.0	3.92127114	355.36054756	60.96602721	7.15597828	1.36957723	12.67524978	0.76978751	3.06746531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1771	0.00376661	0.11896639	21.4289211	0.08105163	1.23066858	0.0	0.0	0.0	0.0	0.0	105.07227	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.6e-06	0.0	0.0	5.466e-05	0.0	0.0	0.0	0.01007122	0.0	3.83746579	347.86198829	59.42424033	7.06921841	1.33548287	12.26705852	0.76542684	3.05491887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1772	0.00376772	0.12115503	21.39461572	0.08258288	1.21837129	0.0	0.0	0.0	0.0	0.0	105.08887	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.64e-06	0.0	0.0	5.873e-05	0.0	0.0	0.0	0.01007122	0.0	3.80729827	344.61347383	58.72495295	7.04323056	1.31719396	12.04335906	0.76988358	3.07082422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1773	0.00376883	0.12338393	21.59523139	0.08414306	1.22122283	0.0	0.0	0.0	0.0	0.0	105.06952	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.67e-06	0.0	0.0	6.277e-05	0.0	0.0	0.0	0.01007122	0.0	3.79008644	345.77680909	58.91656885	7.10450374	1.31696355	12.113489	0.77579205	3.09117479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1774	0.00376995	0.12565384	22.25970773	0.08573271	1.2669849	0.0	0.0	0.0	0.0	0.0	105.0265	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.71e-06	0.0	0.0	6.678e-05	0.0	0.0	0.0	0.01007122	0.0	3.88630638	358.10358504	61.31335787	7.34770147	1.36087205	12.72626815	0.79402869	3.14932503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1775	0.00377106	0.12796551	22.20096329	0.0873524	1.25115383	0.0	0.0	0.0	0.0	0.0	105.05246	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	1.75e-06	0.0	0.0	7.086e-05	0.0	0.0	0.0	0.01007122	0.0	3.91226451	355.04717286	60.54083046	7.26964482	1.35803971	12.4470131	0.79095688	3.1421226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
