Component	CO2_FF	CO2_AFOLU	CH4	N2O	SO2	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	NOx	CO	NMVOC	NH3	BMB_AEROS_BC	BMB_AEROS_OC	BC	OC	CFC-13	HCFC-124	HCFC-133a	HFC152a	HFC365mfc	HFC236fa	C3F8	C4F8	C4F10	NF3	SO2F2
Unit 	 Pg_C	Pg_C	Tg	Tg_N	Tg_S	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Mt_N	Mt	Mt	Mt	Tg	Tg	Tg	Tg  Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg	Gg
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total  
Reference	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	No data	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	ssp245	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	agage	
1885	0.25428891	0.69044542	71.60546241	0.70735779	6.29770338	0.0	0.0	0.0	0.0	0.0	104.93798	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.69e-06	0.0	0.0	0.00051577	0.0	0.00035615	0.0	0.01155044	0.0	4.48615153	438.14153854	68.94977818	11.60315357	1.37608218	12.8671988	1.61157647	6.33967026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1886	0.2581697	0.69151591	72.58254388	0.71209613	6.35581788	0.0	0.0	0.0	0.0	0.0	104.9357	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.73e-06	0.0	0.0	0.00051979	0.0	0.0003621	0.0	0.01155047	0.0	4.52798168	437.73332685	68.86926284	11.67579747	1.37167521	12.69590197	1.62847316	6.37191761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1887	0.27080924	0.69146649	73.77743063	0.71767581	6.60866856	0.0	0.0	0.0	0.0	0.0	104.94903	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.77e-06	0.0	0.0	0.00052398	0.0	0.00036821	0.0	0.0115505	0.0	4.61211205	443.10773814	69.79403942	11.82565523	1.39346502	12.92347563	1.65112506	6.40497801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1888	0.29884299	0.69112102	75.11035553	0.72367886	7.18541964	0.0	0.0	0.0	0.0	0.0	104.91459	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.8e-06	0.0	0.0	0.00052766	0.0	0.00037446	0.0	0.01155053	0.0	4.73483096	452.50230797	71.42723744	12.04162329	1.42227215	13.30097883	1.7012119	6.4847676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1889	0.29921459	0.69063074	75.92960019	0.73021381	7.18174545	0.0	0.0	0.0	0.0	0.0	104.95877	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.84e-06	0.0	0.0	0.00053218	0.0	0.00038086	0.0	0.01155056	0.0	4.72012028	448.69086963	70.65718772	12.07532791	1.4056411	13.07503323	1.69902724	6.47774383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1890	0.32508899	0.68734646	77.07862319	0.7550925	7.73182603	0.0	0.0	0.0	0.0	0.0	104.9317	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.87e-06	0.0	0.0	0.00053593	0.0	0.00038741	0.0	0.01155059	0.0	4.80075235	453.89903233	71.47659717	12.22188071	1.42072803	13.25215587	1.73846691	6.525909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1891	0.34024774	0.68399696	77.68229292	0.76641842	8.02942557	0.0	0.0	0.0	0.0	0.0	104.97344	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.91e-06	0.0	0.0	0.00054043	0.0	0.0003941	0.0	0.01155062	0.0	4.73623801	444.3827318	69.53172191	12.1596402	1.37428769	12.67645127	1.75089301	6.52322175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1892	0.34273842	0.69850808	78.54558089	0.77768639	8.16973015	0.0	0.0	0.0	0.0	0.0	104.99082	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.95e-06	0.0	0.0	0.00054468	0.0	0.00040094	0.0	0.01155065	0.0	4.68868521	439.80865905	68.66391959	12.19914652	1.34895149	12.41948527	1.76157687	6.53003649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1893	0.33766579	0.69928941	79.81501329	0.78913512	8.12421175	0.0	0.0	0.0	0.0	0.0	104.97994	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	5.99e-06	0.0	0.0	0.0005486	0.0	0.00040792	0.0	0.01229013	0.0	4.7082135	443.35065579	69.48705802	12.37945386	1.36418818	12.64575826	1.76124271	6.53269794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1894	0.35091188	0.71514807	81.38345626	0.80140069	8.4150832	0.0	0.0	0.0	0.0	0.0	104.93101	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.02e-06	0.0	0.0	0.0005521	0.0	0.00041505	0.0	0.01229017	0.0	4.88166346	456.69603251	71.90804381	12.66238559	1.4218654	13.26493542	1.78324522	6.57119306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1895	0.37148694	0.72050852	82.23116014	0.81227549	8.85055293	0.0	0.0	0.0	0.0	0.0	104.96751	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.06e-06	0.0	0.0	0.00055656	0.0	0.00042233	0.0	0.01155076	0.0	4.91184114	453.55188505	71.15178658	12.67244423	1.40305492	12.91765136	1.81310892	6.60484912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1896	0.38344248	0.7230027	83.00005426	0.82348227	9.09359106	0.0	0.0	0.0	0.0	0.0	104.96751	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.09e-06	0.0	0.0	0.00056061	0.0	0.00042976	0.0	0.01229024	0.0	4.72694043	444.09442778	69.42267706	12.72059369	1.33655652	12.54663707	1.83421223	6.63065065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1897	0.40173774	0.72543871	84.39253635	0.8340086	9.52457571	0.0	0.0	0.0	0.0	0.0	104.99693	0.02485686	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.13e-06	0.0	0.0	0.000565	0.0	0.00043733	0.0	0.01229029	0.0	5.0192697	456.41220547	71.5467325	12.8902171	1.40922488	12.92568313	1.85947723	6.65649975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1898	0.42304788	0.7279355	85.36127162	0.84366951	10.01449279	0.0	0.0	0.0	0.0	0.0	105.01512	0.02485618	0.0	0.0	0.0	0.0	0.0	0.00772324	0.0	0.0	0.0	0.0	0.0	6.17e-06	0.0	0.0	0.00056926	0.0	0.00044505	0.0	0.01229033	0.0	5.0904329	456.60376736	71.45665952	12.95906823	1.4090516	12.8172848	1.88781866	6.68439631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1899	0.46303663	0.72811498	86.70543387	0.85314042	10.84287412	0.0	0.0	0.0	0.0	0.0	104.97653	0.0248577	0.0	0.0	0.0	0.0	0.0	0.00772323	0.0	0.0	0.0	0.0	0.0	6.2e-06	0.0	0.0	0.00057286	0.0	0.00048567	0.0	0.01229038	0.0	5.08738729	462.10359939	72.46072256	13.20706844	1.39757386	13.06397027	1.95825749	6.80473966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1900	0.48786026	0.73012996	87.61328845	0.86251964	11.35371245	0.0	0.0	0.0	0.0	0.0	104.98481	0.02485644	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.24e-06	0.0	0.0	0.00057701	0.0	0.00239267	0.0	0.02855835	0.0	5.08158496	459.54446685	71.90656631	13.27666955	1.37688995	12.91962009	1.98493108	6.83116784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1901	0.50418023	0.79642374	88.39116711	0.87074974	11.78042751	0.0	0.0	0.0	0.0	0.0	105.04131	0.02485744	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.28e-06	0.0	0.0	0.00058173	0.0	0.0048201	0.0	0.04778445	0.0	5.19439236	457.61683051	71.63263161	13.3014099	1.37440685	12.62557761	2.00854608	6.86204456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1902	0.51903062	0.79979402	89.26282464	0.88055185	12.10586396	0.0	0.0	0.0	0.0	0.0	105.04898	0.02485606	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.32e-06	0.0	0.0	0.00058587	0.0	0.00577812	0.0	0.05074301	0.0	5.17196972	455.02617682	71.24149846	13.41248803	1.34844751	12.461322	2.03309396	6.8967395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1903	0.5661116	0.82906879	89.89074057	0.88999002	13.04988783	0.0	0.0	0.0	0.0	0.0	105.09555	0.02485798	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.36e-06	0.0	0.0	0.00059049	0.0	0.00695761	0.0	0.05591998	0.0	5.18236962	449.96253041	70.25376393	13.43752052	1.30722602	12.08006095	2.08216031	6.95053693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1904	0.57480385	0.85558166	91.35674943	0.90032017	13.28026802	0.0	0.0	0.0	0.0	0.0	105.07939	0.02485529	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.39e-06	0.0	0.0	0.00059435	0.0	0.00943634	0.0	0.06849157	0.0	5.39217962	462.62176503	72.88437625	13.7314717	1.36380421	12.65551239	2.10025409	7.00060734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1905	0.61192547	0.88255566	92.40132432	0.91111012	14.10717227	0.0	0.0	0.0	0.0	0.0	105.08907	0.0248591	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.43e-06	0.0	0.0	0.00059853	0.0	0.01341283	0.0	0.08771847	0.0	5.56259652	467.44012884	73.70973522	13.85510547	1.38104779	12.68669499	2.14428694	7.06627217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1906	0.64388621	0.91339245	93.24998316	0.92216934	14.77293632	0.0	0.0	0.0	0.0	0.0	105.10645	0.02485365	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.47e-06	0.0	0.0	0.0006028	0.0	0.01819645	0.0	0.11138246	0.0	5.59948579	466.4356479	73.46173851	13.95964537	1.35822077	12.46307853	2.19110371	7.14385283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1907	0.72647579	0.9224381	94.56080194	0.932854	16.27213164	0.0	0.0	0.0	0.0	0.0	105.14627	0.02581295	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.51e-06	0.0	0.0	0.00060735	0.0	0.01696619	0.0	0.10398923	0.0	5.91692149	480.31745636	76.00444514	14.21677499	1.39542572	12.8514702	2.27903165	7.29302055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1908	0.70280674	0.93181386	95.71237193	0.94326728	15.59756138	0.0	0.0	0.0	0.0	0.0	105.12414	0.02923194	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.54e-06	0.0	0.0	0.00061114	0.0	0.02140488	0.0	0.12765503	0.0	5.96634788	482.58263401	76.856238	14.40742286	1.41753142	13.04019758	2.25834522	7.30199197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1909	0.72891144	0.93889509	96.4666946	0.95342817	16.37819647	0.0	0.0	0.0	0.0	0.0	105.16533	0.765086	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.58e-06	0.0	0.0	0.00061572	0.0	0.03671437	0.0	0.21121463	0.0	6.0327125	480.68946879	76.4408771	14.46573428	1.39812294	12.76041003	2.29192572	7.34926128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1910	0.7652627	0.94501948	97.77187103	0.96414091	17.13059187	0.0	0.0	0.0	0.0	0.0	105.14442	1.0366888	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.62e-06	0.0	0.0	0.00061952	0.0	0.04234233	0.0	0.24301505	0.0	6.21596524	491.47136222	78.48124343	14.73060447	1.43022825	13.16936723	2.33737985	7.43296117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1911	0.78054171	0.8868663	98.42938116	0.9754369	17.25176004	0.0	0.0	0.0	0.0	0.0	105.20214	0.55672031	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.66e-06	0.0	0.0	0.00062432	0.0	0.04721708	0.0	0.27037941	0.0	6.19620689	482.37364837	76.73370569	14.67937454	1.38586805	12.58147549	2.34004948	7.42613194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1912	0.81946966	0.85032464	99.26614632	0.99167299	17.99709871	0.0	0.0	0.0	0.0	0.0	105.23472	1.3372385	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.7e-06	0.0	0.0	0.0006288	0.0	0.05597714	0.0	0.31844894	0.0	6.21019621	477.98892146	75.83160819	14.7136648	1.34730808	12.2175778	2.36179239	7.46331463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1913	0.88899531	0.81985171	100.61255837	1.01067843	19.08113094	0.0	0.0	0.0	0.0	0.0	105.25437	2.7874772	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.74e-06	0.0	0.0	0.00063313	0.0	0.05934571	0.0	0.33694139	0.0	6.44426262	488.26760349	77.5799616	14.92180765	1.36462207	12.44628947	2.42331697	7.56103923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1914	0.81099997	0.80871449	102.28405865	1.03135227	17.60216245	0.0	0.0	0.0	0.0	0.0	105.19867	4.5655912	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.77e-06	0.0	0.0	0.00063648	0.0	0.06480198	0.0	0.36726542	0.0	6.48949223	494.49788263	79.77807343	15.24149746	1.42020729	13.12965727	2.34421151	7.46282382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1915	0.8025054	0.79691909	103.05791975	1.0538254	17.58083508	0.0	0.0	0.0	0.0	0.0	105.2716	6.2098372	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.81e-06	0.0	0.0	0.0006415	0.0	0.08400063	0.0	0.47153519	0.0	6.47311202	484.24768488	78.35040062	15.23213103	1.37835216	12.62608591	2.34398562	7.43533866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1916	0.86480678	0.79922596	104.08894352	1.07697975	19.07385884	0.0	0.0	0.0	0.0	0.0	105.29863	5.9968917	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.85e-06	0.0	0.0	0.00064593	0.0	0.10465075	0.0	0.58467971	0.0	6.59184361	482.95426601	78.27985155	15.34284718	1.3427093	12.42283497	2.40149777	7.48546363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1917	0.89607863	0.80225947	105.43974145	1.09942706	19.91574313	0.0	0.0	0.0	0.0	0.0	105.37275	5.1585271	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.89e-06	0.0	0.0	0.00065098	0.0	0.11034348	0.0	0.61870744	0.0	6.99327405	492.96004475	80.45481807	15.500365	1.40118939	12.69666275	2.42520746	7.48089829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1918	0.88685819	0.80554775	106.7459316	1.12038237	19.75191723	0.0	0.0	0.0	0.0	0.0	105.37311	4.2721672	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.93e-06	0.0	0.0	0.00065507	0.0	0.10461425	0.0	0.58914082	0.0	7.10758435	496.24207308	81.61294814	15.70439103	1.41941377	12.93568546	2.41118361	7.43326612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1919	0.78038755	0.81066795	108.09510704	1.13937482	17.00225187	0.0	0.0	0.0	0.0	0.0	105.33647	3.196035	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	6.96e-06	0.0	0.0	0.00065866	0.0	0.10155164	0.0	0.57214502	0.0	6.91660078	490.97941712	81.67724386	15.91565271	1.41347132	13.08535373	2.30916981	7.28328448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1920	0.90251325	0.81302582	109.13363853	1.15676201	18.81095805	0.0	0.0	0.0	0.0	0.0	105.40157	4.0059497	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.01e-06	0.0	0.0	0.00066362	0.0	0.0718748	0.0	0.41169313	0.0	7.30790929	498.87459988	82.96992111	16.03665614	1.40344868	13.00423863	2.40956144	7.39815647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1921	0.79335515	0.86077777	109.80934796	1.17253404	16.0567558	0.0	0.0	0.0	0.0	0.0	105.42979	6.3575755	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.05e-06	0.0	0.0	0.00066809	0.0	0.05599481	0.0	0.32444592	0.0	7.13630032	486.61362419	81.18725519	16.0101613	1.3937965	12.64511513	2.2674262	7.20099365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1922	0.84338564	0.85285244	110.4858104	1.18788416	16.95834172	0.0	0.0	0.0	0.0	0.0	105.47367	7.5196689	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.09e-06	0.0	0.0	0.00067278	0.0	0.10093674	0.0	0.56921203	0.0	7.24123246	484.82734184	80.53069431	16.07300912	1.34612212	12.22472269	2.31221161	7.2495557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1923	0.95897793	0.86096273	112.25356413	1.20421346	19.73233569	0.0	0.0	0.0	0.0	0.0	105.54539	8.1995609	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.13e-06	0.0	0.0	0.00067786	0.0	0.13753371	0.0	0.77479139	0.0	8.00189482	514.23439514	86.27583424	16.4693053	1.43276794	12.95620855	2.44847827	7.46161666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1924	0.96977183	0.86713791	112.63350597	1.22129865	19.53046911	0.0	0.0	0.0	0.0	0.0	105.55899	10.064032	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.17e-06	0.0	0.0	0.00068214	0.0	0.14595489	0.0	0.82730698	0.0	7.77868816	499.0974144	83.21123114	16.41564777	1.35548379	12.34420154	2.41932522	7.43462223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1925	0.98310344	0.87031982	113.67042692	1.23685898	19.74756019	0.0	0.0	0.0	0.0	0.0	105.60265	9.887985	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.21e-06	0.0	0.0	0.00068685	0.0	0.15281139	0.0	0.86947278	0.0	7.97136785	502.69576876	84.06174423	16.84168156	1.36390006	12.29022974	2.42670693	7.4632251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1926	0.97060555	0.87475812	114.54563027	1.25166882	19.81761435	0.0	0.0	0.0	0.0	0.0	105.65209	10.020584	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.25e-06	0.0	0.0	0.00069164	0.0	0.16877181	0.0	0.96266008	0.0	8.04516002	499.04182037	84.16877083	17.14732508	1.35396253	12.17844471	2.3704211	7.3945754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1927	1.07133315	0.91426127	115.74747998	1.26581134	21.14906799	0.0	0.0	0.0	0.0	0.0	105.65063	13.691728	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.29e-06	0.00494503	0.0	0.00069573	0.0	0.19366311	0.0	1.1076116	0.0	8.48710819	515.09108838	86.52753525	17.43232174	1.37838955	12.30685062	2.47196783	7.56865924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1928	1.07552261	0.91770585	116.79586661	1.27882134	21.07430033	0.0	0.0	0.02081473	0.0	0.0	105.59392	16.914307	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.32e-06	0.0301399	0.0	0.00069903	0.0	0.2132805	0.0	1.2252077	0.0	8.55625489	515.84008893	87.11586337	17.62700285	1.37955979	12.35424113	2.44857514	7.56168963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1929	1.15625079	0.9449639	118.01999772	1.28985552	22.41205974	0.0	0.0	0.33502494	0.0	0.0	105.60372	19.38339	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.35e-06	0.0033293	0.0	0.00070195	0.0	0.20802541	0.0	1.2037865	0.0	8.88122817	527.05357551	89.37670247	17.86727278	1.38733846	12.61840792	2.50287753	7.65656602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1930	1.07223679	1.02218152	119.67017881	1.29939111	20.80147294	0.0	0.0	1.1701026	0.0	0.0	105.91829	20.571834	0.0	0.0	0.0	0.0	0.0	0.00772327	0.0	0.0	0.0	0.0	0.0	7.36e-06	-0.02605104	0.0	0.00070327	0.0	0.17035764	0.0	0.99750344	0.0	8.82859565	535.03490282	91.59573863	18.10997615	1.46724858	13.35110028	2.44037423	7.60128831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1931	0.96808514	1.03250467	119.90750782	1.30633371	18.35620546	0.0	0.0	1.6600329	0.0	0.0	106.6887	21.232329	0.0	0.0	0.0	0.0	0.0	0.00772326	0.0	0.0	0.0	0.0	0.0	7.38e-06	-0.00382921	0.0	0.00070594	0.0	0.11326202	0.0	0.6766021	0.0	8.19408782	504.8981345	86.48531867	17.9582942	1.35095346	12.30437939	2.34823963	7.47860406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1932	0.87974134	0.93441887	121.42198729	1.31311676	16.15819961	0.0	0.0	1.6167368	0.0	0.0	107.41813	23.837144	0.0	0.00576435	0.0	0.0	0.0	0.00772329	0.0	0.0	0.0	0.0	0.0	7.4e-06	0.00074311	0.0	0.00070837	0.0	0.08584763	0.0	0.51911084	0.0	8.13035109	510.1823315	87.90725373	18.10001304	1.42037574	12.74119936	2.28074477	7.42061618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1933	0.92289341	0.93123708	122.3437659	1.31878393	17.00250592	0.0	0.0	1.6336582	0.0	0.0	108.09758	28.120028	0.0	0.14482802	0.0	0.0	0.0	0.00772322	0.0	0.0	0.0	0.0	0.0	7.43e-06	0.00080764	0.0	0.0007109	0.0	0.1016274	0.0	0.61081444	0.0	8.09025959	508.11601206	87.73926442	18.14058312	1.36596959	12.54431479	2.3080221	7.47529852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1934	1.000082	0.91947263	123.95329985	1.32506438	18.68811796	0.0	0.0	1.6505883	0.0	0.0	108.91202	34.519287	0.0	0.60639434	0.0	0.0	0.0	0.00772337	0.0	0.0	0.0	0.0	0.0	7.47e-06	0.00087789	0.0	0.00071527	0.0	0.15202423	0.0	0.91252255	0.0	8.59085514	528.03316601	91.49703968	18.32411359	1.44171419	13.11045248	2.37590822	7.59216536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1935	1.04996067	0.918128	124.89460439	1.33144892	20.0867626	0.0	0.0	1.6675173	0.0	0.0	109.70014	40.132859	0.0	0.97427321	0.0	0.0	0.0	0.00772302	0.0	0.0	0.0	0.0	0.0	7.5e-06	0.00095422	0.0	0.00071926	0.0	0.22028466	0.0	1.3303298	0.0	8.76634235	529.44094063	91.90214074	18.31731965	1.41662248	12.8897884	2.41014075	7.65340864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1936	1.14967011	0.926508	126.46470475	1.33768189	21.60705857	0.0	0.0	1.6844464	0.0	0.0	110.56758	42.33712	0.0	1.0455299	0.0	0.0	0.0	0.00772385	0.0	0.0	0.0	0.0	0.0	7.55e-06	0.00103728	0.0	0.00072437	0.0	0.28820401	0.0	1.7570203	0.0	9.34809343	550.03985485	95.83484543	18.65286964	1.47493686	13.35682068	2.49707116	7.80736586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
